source,target,length
1490,309,3.026025
309,2133,1.002822
2133,1490,2.439477
1490,2879,3.559277
2879,309,1.243743
309,1490,3.026025
3390,1490,0.525733
1490,509,3.681637
509,3390,3.821858
3390,509,3.821858
509,114,4.114295
114,3390,3.413218
2994,1334,3.741501
726,2879,2.328926
2879,1490,3.559277
726,4649,4.092486
4649,2879,2.463027
2879,726,2.328926
726,239,3.955049
239,4649,3.571096
4649,726,4.092486
1334,239,3.366763
239,726,3.955049
726,3203,4.741948
4127,3203,3.261801
3203,726,4.741948
726,4127,4.396317
4127,3390,2.517621
3390,114,3.413218
4127,726,4.396317
1490,4127,2.949056
4127,1490,2.949056
1490,3390,0.525733
3390,4127,2.517621
3140,2994,3.370401
3203,3140,1.740077
1023,3203,3.063456
3203,4127,3.261801
4127,1023,4.549112
1023,3140,3.619266
3140,3203,1.740077
3203,1023,3.063456
4754,3140,3.577295
3140,1023,3.619266
1023,4754,2.766176
1023,4127,4.549112
114,138,6.330334
138,114,6.330334
114,780,2.164598
2226,1023,5.273327
138,2226,2.924875
4450,2226,4.578016
2226,1722,4.637801
1722,4450,2.591434
4839,4450,2.973922
4450,2398,1.795410
2398,4839,3.658985
4839,1023,5.723735
1023,2226,5.273327
4839,4754,4.115576
4754,1023,2.766176
1023,4839,5.723735
2226,4450,4.578016
4450,4839,2.973922
463,2398,3.754650
2398,1854,4.108268
1854,463,1.014227
463,4839,2.714957
4839,2398,3.658985
2398,463,3.754650
463,4754,4.812262
4754,4839,4.115576
4839,463,2.714957
3899,4025,3.393735
4025,1543,1.569600
1543,3899,3.937672
3899,463,3.532509
463,1854,1.014227
1854,3899,3.169697
4754,463,4.812262
463,3899,3.532509
3899,1854,3.169697
1854,4025,2.247007
4025,3899,3.393735
907,4754,2.942815
3899,907,4.495295
907,3140,2.295348
3140,4754,3.577295
4754,907,2.942815
907,2994,3.864173
2994,3140,3.370401
3140,907,2.295348
907,3899,4.495295
2994,907,3.864173
2859,4461,5.129188
4461,2994,3.072123
4461,2859,5.129188
2859,2549,1.694880
2549,1736,2.216273
1910,2859,3.220881
1910,2549,3.581060
2549,2859,1.694880
2859,1910,3.220881
1088,1910,0.995757
3899,1543,3.937672
4121,1910,2.149840
1910,1088,0.995757
1088,4121,1.733854
4121,2549,4.979490
2549,1910,3.581060
1910,4121,2.149840
4154,4121,2.434910
4121,2784,2.685220
2784,4154,0.740725
4154,4794,6.865551
4794,1736,3.245059
