vehicle_id,location_id,longitude,latitude
12,4433,54.981773,24.674198
12,863,55.081524,24.966158
12,1949,54.864836,24.853482
12,3088,54.908729,24.688362
12,4699,54.889324,24.698421
12,1396,54.835821,24.817240
12,2669,54.836451,24.781988
12,3343,54.847216,24.743499
12,3039,54.821186,24.791720
12,4015,54.807986,24.746135
12,4215,54.790766,24.829614
12,4250,54.764167,24.760097
13,2693,53.552141,23.635902
13,1815,53.495683,23.638661
13,2292,53.553136,23.499534
13,1450,53.462399,23.489423
13,4334,53.437949,23.501019
13,3801,53.636887,23.477825
13,3023,53.384935,23.512228
13,1937,53.416271,23.482199
13,4311,53.410433,23.482259
13,4689,53.387109,23.498114
13,3597,53.546317,23.414668
13,3749,53.598689,23.415013
13,957,53.589727,23.388950
13,2221,53.661729,23.374124
14,4922,56.209972,24.840476
15,192,54.239942,23.458463
15,4068,54.271193,23.466081
15,2057,54.352454,23.407299
15,404,54.439228,23.426484
15,72,54.435104,23.371136
15,4300,54.396541,23.307932
15,562,54.385038,23.289286
15,2270,54.483038,23.401175
15,284,54.395893,23.253382
15,1969,54.474384,23.317878
15,108,54.464197,23.300525
15,4248,54.451682,23.268043
15,1391,54.527055,23.389890
15,2477,54.483259,23.300607
15,4679,54.528003,23.368370
15,3793,54.488122,23.295382
15,1798,54.444639,23.198869
15,681,54.486840,23.223956
15,2213,54.480226,23.196032
15,143,54.544669,23.218355
16,2240,55.313246,24.874464
16,1697,55.322922,24.829384
16,168,55.307043,24.924605
16,227,55.263804,24.841053
16,3743,55.310903,24.955244
16,1770,55.238053,24.928930
16,3764,55.222212,24.923780
16,2490,55.211619,24.910581
16,4513,55.228984,24.952408
16,4157,55.437112,24.885483
16,2742,55.374105,24.975755
16,4004,55.247875,25.005206
16,17,55.251541,25.009306
16,4279,55.271302,24.731507
16,138,55.430830,24.987543
16,2966,55.398811,24.734504
16,1866,55.354433,25.030733
16,3564,55.215790,25.015053
16,1881,55.493009,24.931689
16,2258,55.235158,25.034625
16,1691,55.394646,25.045093
16,2118,55.479925,24.759748
16,3206,55.441343,25.032268
16,3748,55.510876,24.966404
16,3677,55.106741,24.975130
16,405,55.447499,25.050870
16,166,55.218053,25.074749
16,1281,55.519448,24.997399
16,2866,55.334878,25.111085
16,918,55.357393,25.120730
16,3852,55.539371,25.051278
16,3299,55.429560,25.149666
16,3869,55.258842,25.166435
16,4189,55.516435,25.130585
16,2643,55.400964,25.181223
16,2962,55.523980,25.134875
16,3882,55.345457,25.200966
16,2650,55.262229,25.213099
17,4369,53.568801,23.004773
17,3063,53.594021,22.947025
17,1229,53.613438,22.943243
17,3155,53.520685,23.083880
17,663,53.661359,22.949420
17,821,53.492831,23.105942
17,2199,53.701835,22.837432
18,2705,56.182108,25.139331
18,4563,56.188551,25.102797
18,1797,56.164226,25.077205
18,3240,56.099331,25.131853
18,1283,56.160927,25.044067
18,506,56.144127,25.031376
18,3357,56.134700,24.964008
19,2270,54.483038,23.401175
20,2980,55.299098,23.257893
20,4944,55.295378,23.276473
20,239,55.282878,23.216855
20,173,55.253159,23.283291
20,3483,55.200317,23.250023
20,3864,55.163681,23.240381
20,3285,55.159633,23.223126
20,525,55.163592,23.088684
20,2327,55.154034,23.082395
20,1980,55.149735,23.063126
20,3385,55.100927,23.037638
20,2981,55.086748,23.025000
20,4407,55.127196,22.980435
20,1533,55.047517,23.012919
20,3934,54.982690,23.057095
20,407,55.014880,22.912797
20,4154,54.953605,22.929577
20,596,54.892939,22.980277
20,542,54.975670,22.858105
20,2940,54.948058,22.736129
21,3840,52.338713,23.462716
21,2713,52.345417,23.444757
21,4482,52.350002,23.482121
21,828,52.373383,23.450290
21,1019,52.361203,23.536101
21,920,52.256021,23.426576
21,1465,52.431817,23.442355
21,4508,52.333619,23.374755
21,1596,52.363156,23.362449
21,4770,52.274121,23.553368
21,2320,52.215686,23.501394
21,705,52.224684,23.398793
21,3521,52.322626,23.585354
21,1422,52.282044,23.585680
21,3077,52.201628,23.391487
21,2218,52.377119,23.604497
21,2201,52.174620,23.480677
21,4912,52.233406,23.624975
21,6,52.283801,23.646683
21,2676,52.204452,23.633713
21,4684,52.304894,23.672753
21,208,52.462769,23.688055
21,4282,52.400319,23.713303
21,3671,52.404762,23.739991
21,4044,52.320161,23.802188
21,3331,52.397064,23.805099
21,1646,52.431312,23.813371
21,3916,52.392321,23.830025
21,2937,52.290458,23.906260
21,1270,52.280168,23.908818
21,3180,52.517778,23.967944
21,2058,52.563552,23.992091
21,594,52.567753,24.048209
21,3559,52.532102,24.061920
21,2583,52.595772,24.068619
22,1856,54.455432,22.709718
22,1564,54.409651,22.719440
22,4574,54.273320,22.737299
22,4856,54.290186,22.815717
22,1092,54.342933,22.896504
22,3816,54.279444,22.860484
